Date,Time,Open,High,Low,Close,Volume
2023-06-23,10:02:00,121.27,121.45,121.27,121.405,70711.0
2023-06-23,10:03:00,121.4,121.54,121.32,121.45,66229.0
2023-06-23,10:04:00,121.44,121.46,121.3409,121.38,31739.0
2023-06-23,10:05:00,121.38,121.56,121.32,121.32,56354.0
2023-06-23,10:06:00,121.33,121.48,121.28,121.44,45920.0
2023-06-23,10:07:00,121.43,121.48,121.32,121.455,51880.0
2023-06-23,10:08:00,121.45,121.5307,121.41,121.41,43913.0
2023-06-23,10:09:00,121.415,121.59,121.41,121.5,103255.0
2023-06-23,10:10:00,121.485,121.67,121.485,121.58,52712.0
2023-06-23,10:11:00,121.57,121.665,121.57,121.61,48901.0
2023-06-23,10:12:00,121.6,121.765,121.6,121.755,51704.0
2023-06-23,10:13:00,121.75,121.78,121.64,121.65,95744.0
2023-06-23,10:14:00,121.65,121.68,121.53,121.53,83277.0
2023-06-23,10:15:00,121.545,121.61,121.53,121.58,44228.0
2023-06-23,10:16:00,121.59,121.68,121.545,121.67,43619.0
2023-06-23,10:17:00,121.69,121.695,121.525,121.55,39070.0
2023-06-23,10:18:00,121.5399,121.75,121.53,121.75,44647.0
2023-06-23,10:19:00,121.75,121.84,121.65,121.8399,40168.0
2023-06-23,10:20:00,121.84,121.92,121.7407,121.79,57625.0
2023-06-23,10:21:00,121.7739,121.835,121.65,121.65,34578.0
2023-06-23,10:22:00,121.64,121.715,121.62,121.63,44298.0
2023-06-23,10:23:00,121.64,121.75,121.61,121.65,39504.0
2023-06-23,10:24:00,121.65,121.84,121.65,121.82,55923.0
2023-06-23,10:25:00,121.83,121.87,121.7187,121.7187,28754.0
2023-06-23,10:26:00,121.715,121.745,121.51,121.52,33446.0
2023-06-23,10:27:00,121.52,121.59,121.52,121.5485,22623.0
2023-06-23,10:28:00,121.555,121.7163,121.555,121.7,23499.0
2023-06-23,10:29:00,121.72,121.85,121.71,121.83,26823.0
2023-06-23,10:30:00,121.81,121.995,121.81,121.96,48004.0
2023-06-23,10:31:00,121.93,121.94,121.78,121.87,42613.0
2023-06-23,10:32:00,121.88,121.88,121.75,121.77,31963.0
2023-06-23,10:33:00,121.78,121.82,121.72,121.815,65756.0
2023-06-23,10:34:00,121.82,121.83,121.76,121.765,49714.0
2023-06-23,10:35:00,121.77,121.845,121.745,121.815,91108.0
2023-06-23,10:36:00,121.82,121.88,121.74,121.7599,52778.0
2023-06-23,10:37:00,121.76,121.86,121.76,121.84,56079.0
2023-06-23,10:38:00,121.84,121.86,121.785,121.83,38165.0
2023-06-23,10:39:00,121.84,121.9,121.81,121.88,52624.0
2023-06-23,10:40:00,121.87,121.895,121.78,121.82,49443.0
2023-06-23,10:41:00,121.825,121.88,121.81,121.85,36388.0
2023-06-23,10:42:00,121.845,121.925,121.82,121.92,35196.0
2023-06-23,10:43:00,121.92,122.01,121.88,121.935,103292.0
2023-06-23,10:44:00,121.935,121.95,121.86,121.89,37567.0
2023-06-23,10:45:00,121.88,121.93,121.85,121.88,52027.0
2023-06-23,10:46:00,121.89,121.89,121.835,121.865,59950.0
2023-06-23,10:47:00,121.85,121.91,121.805,121.88,44457.0
2023-06-23,10:48:00,121.87,121.87,121.785,121.795,28771.0
2023-06-23,10:49:00,121.79,121.87,121.74,121.785,54841.0
2023-06-23,10:50:00,121.785,121.83,121.71,121.71,47671.0
2023-06-23,10:51:00,121.71,121.76,121.57,121.58,39103.0
2023-06-23,10:52:00,121.57,121.64,121.52,121.58,58442.0
2023-06-23,10:53:00,121.585,121.6,121.49,121.54,45022.0
2023-06-23,10:54:00,121.55,121.65,121.55,121.6499,42476.0
2023-06-23,10:55:00,121.65,121.7,121.62,121.63,36904.0
2023-06-23,10:56:00,121.635,121.635,121.505,121.53,42475.0
2023-06-23,10:57:00,121.51,121.605,121.505,121.57,23853.0
2023-06-23,10:58:00,121.58,121.6,121.52,121.56,29355.0
2023-06-23,10:59:00,121.55,121.665,121.55,121.63,31891.0
2023-06-23,11:00:00,121.65,121.71,121.61,121.61,25413.0
2023-06-23,11:01:00,121.605,121.68,121.55,121.6101,18200.0
2023-06-23,11:02:00,121.61,121.79,121.6,121.735,33114.0
2023-06-23,11:03:00,121.75,121.79,121.69,121.7001,33709.0
2023-06-23,11:04:00,121.71,121.73,121.68,121.73,21473.0
2023-06-23,11:05:00,121.74,121.87,121.74,121.84,58145.0
2023-06-23,11:06:00,121.84,121.86,121.79,121.79,33823.0
2023-06-23,11:07:00,121.78,121.78,121.68,121.7,37420.0
2023-06-23,11:08:00,121.69,121.74,121.67,121.73,34377.0
2023-06-23,11:09:00,121.715,121.755,121.685,121.725,29146.0
2023-06-23,11:10:00,121.72,121.76,121.7,121.735,25041.0
2023-06-23,11:11:00,121.74,121.81,121.66,121.81,30721.0
2023-06-23,11:12:00,121.81,121.81,121.65,121.65,18627.0
2023-06-23,11:13:00,121.665,121.79,121.61,121.78,77761.0
2023-06-23,11:14:00,121.78,121.83,121.7,121.7,34706.0
2023-06-23,11:15:00,121.7,121.8075,121.69,121.79,41601.0
2023-06-23,11:16:00,121.79,121.865,121.74,121.86,44429.0
2023-06-23,11:17:00,121.855,121.86,121.72,121.76,58939.0
2023-06-23,11:18:00,121.75,121.75,121.6028,121.63,49098.0
2023-06-23,11:19:00,121.61,121.645,121.57,121.59,42006.0
2023-06-23,11:20:00,121.59,121.61,121.525,121.59,48833.0
2023-06-23,11:21:00,121.59,121.605,121.44,121.5,70202.0
2023-06-23,11:22:00,121.5,121.6197,121.495,121.6,26416.0
2023-06-23,11:23:00,121.585,121.67,121.54,121.55,36408.0
2023-06-23,11:24:00,121.55,121.585,121.52,121.54,38678.0
2023-06-23,11:25:00,121.52,121.5754,121.51,121.56,26243.0
